src,ext,size,predicted_dest,audio_group
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Lil Keke - whippin on da grain.wav,.wav,610614,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Fela - holla my nig.wav,.wav,600254,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Kicks
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Fela - chicken fuckin wit my mind.wav,.wav,1168042,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Lil Blunt - but when i smoke.wav,.wav,612066,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Livewire - groupie bitches they cant handle this.wav,.wav,576870,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/King Tee - makin punk niggas holla.wav,.wav,430594,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Bun B - Come down in the kut.wav,.wav,589226,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Fat Pat - Left to the right.wav,.wav,1165678,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/foe foes im tippin.wav,.wav,1180434,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Pimp C - come thru and pop.wav,.wav,1183790,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/SUC - Come down swangin.wav,.wav,660890,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Sound - hoe ass nigga run yo mouf.wav,.wav,703414,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Kicks
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Lord Infamous - up out the night gown.wav,.wav,539614,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Lil Fly - Blaze a 40 sack.wav,.wav,414402,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Snares
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Lady B - Sellin crack on da track.wav,.wav,588742,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Lil Jule - Got dat Blunt.wav,.wav,160042,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Fela _ DJ Rod - Down With South Memphis_6.wav,.wav,1354980,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Snares
