rel_path,suggested,duration,bpm_hint,bpm_audio,key,harmonic_ratio,parsed_instrument,parsed_tokens,is_vocal,is_drum,is_loop_word
07 One Shots/004_b__Reverse_Cymba_-_STIMULANTDNB_Zenhiserl.wav,unchanged,0.7058730158730159,,,,,,004|b|reverse|cymba|stimulantdnb|zenhiserl,False,False,False
07 One Shots/05_Woo.wav,unchanged,7.6289795918367345,,,,,,05|woo,False,False,False
07 One Shots/27_Downlift_1.wav,unchanged,10.572789115646259,,,,,,27|downlift|1,False,False,False
07 One Shots/AU_BTH3_downlifter_baffling.wav,unchanged,11.958775510204081,,,,,,au|bth3|downlifter|baffling,False,False,False
07 One Shots/BOFB_02_8bit_Coin_.wav,unchanged,0.9993424036281179,,,,,,bofb|02|8bit|coin,False,False,False
07 One Shots/BRS_Camera_Canon_T2i_Flash_Pop_Up_Very_Close_1.wav,unchanged,0.33668934240362813,,,,,,brs|camera|canon|t2i|flash|pop|up|very|close|1,False,False,False
07 One Shots/BRS_Crowd_Teens_Girls_Party_Laugh_Giggles_2.wav,unchanged,11.493877551020407,,,,,,brs|crowd|teens|girls|party|laugh|giggles|2,False,False,False
07 One Shots/BRS_Rain_Street_City_Splatty_3.wav,unchanged,42.09777777777778,,,,,,brs|rain|street|city|splatty|3,False,False,False
07 One Shots/BRS_TV_TJ_Cartoon_Spanish_Bg_Market.wav,unchanged,66.118820861678,,,,,,brs|tv|tj|cartoon|spanish|bg|market,False,False,False
07 One Shots/BRV_The_Illest_Motha.wav,unchanged,0.7857596371882086,,,,,,brv|the|illest|motha,False,False,False
07 One Shots/BS_AATI_Darbuka_Cannon.wav,unchanged,1.1964375,,,,,,bs|aati|darbuka|cannon,False,False,False
07 One Shots/BS_AATI_Darbuka_Copy.wav,unchanged,0.7991041666666666,,,,,,bs|aati|darbuka|copy,False,False,False
07 One Shots/BS_AATI_Darbuka_Hologram.wav,unchanged,0.6428541666666666,,,,,,bs|aati|darbuka|hologram,False,False,False
07 One Shots/BS_AATI_Darbuka_Raven.wav,unchanged,0.6428541666666666,,,,,,bs|aati|darbuka|raven,False,False,False
07 One Shots/BS_AATI_Darbuka_Tolerant.wav,unchanged,0.4285625,,,,,,bs|aati|darbuka|tolerant,False,False,False
07 One Shots/BS_AATI_Darbuka_Twist.wav,unchanged,0.35714583333333333,,,,,,bs|aati|darbuka|twist,False,False,False
07 One Shots/BabyCry_BW.15702.wav,unchanged,28.288,,,,,,babycry|bw|15702,False,False,False
07 One Shots/BabyCry_BW.15703.wav,unchanged,19.354666666666667,,,,,,babycry|bw|15703,False,False,False
07 One Shots/BoyLaugh_BW.15794.wav,unchanged,1.0613333333333332,,,,,,boylaugh|bw|15794,False,False,False
07 One Shots/BullwhipCrack_BW.54895.wav,unchanged,1.1146666666666667,,,,,,bullwhipcrack|bw|54895,False,False,False
07 One Shots/BullwhipCrack_BW.54897.wav,unchanged,1.456,,,,,,bullwhipcrack|bw|54897,False,False,False
07 One Shots/C#_-_Spores___Blooms.wav,unchanged,32.76833333333333,,,,,,c#|spores|blooms,False,False,False
07 One Shots/C&S_Shouts_Dry_Cmon_06.wav,unchanged,0.7493197278911564,,,,,,c&s|shouts|dry|cmon|06,False,False,False
07 One Shots/CSVA_LONG_G_MINOR_09.wav,unchanged,45.40816326530612,,,,,,csva|long|g|minor|09,False,False,False
07 One Shots/Calmed_Ambiance02.wav,unchanged,11.888616780045352,,,,,,calmed|ambiance02,False,False,False
07 One Shots/CarDoorClose_BW.52129.wav,unchanged,0.4746666666666667,,,,,,cardoorclose|bw|52129,False,False,False
07 One Shots/CarDoorOpen_BW.52099.wav,unchanged,0.56,,,,,,cardooropen|bw|52099,False,False,False
07 One Shots/CarEngineRev_BW.52086.wav,unchanged,3.1146666666666665,,,,,,carenginerev|bw|52086,False,False,False
07 One Shots/CarEngineRev_S08TM.12.wav,unchanged,4.181333333333333,,,,,,carenginerev|s08tm|12,False,False,False
07 One Shots/CarFailToStart_S011TM.7.wav,unchanged,2.4,,,,,,carfailtostart|s011tm|7,False,False,False
07 One Shots/CarPassBy_BW.62239.wav,unchanged,18.208,,,,,,carpassby|bw|62239,False,False,False
07 One Shots/CarStartRevAway_BW.52159.wav,unchanged,23.733333333333334,,,,,,carstartrevaway|bw|52159,False,False,False
07 One Shots/CityStreet_BW.1725.wav,unchanged,119.98933333333333,,,,,,citystreet|bw|1725,False,False,False
07 One Shots/DKAP_Tamb_03.wav,unchanged,0.75,,,,,,dkap|tamb|03,False,False,False
07 One Shots/DMVU_BRRRRAP.wav,unchanged,0.861609977324263,,,,,,dmvu|brrrrap,False,False,False
07 One Shots/DarkHorse_Ebm.wav,unchanged,0.8643537414965986,,,,,,darkhorse|ebm,False,False,False
07 One Shots/DarkStar_Ebm.wav,unchanged,0.8643537414965986,,,,,,darkstar|ebm,False,False,False
